,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
77,CHEMBL301715,CC(C)Oc1cccc(S(=O)(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)c1,inactive,503.6210000000003,2.0112999999999994,0.0,6.0,4.187086643357144
78,CHEMBL301610,CC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,active,512.6320000000002,2.053200000000001,0.0,6.0,6.267606240177032
79,CHEMBL301090,CC(=O)N1C(=O)[C@H](C)[C@H]2[C@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(C)cc1,inactive,433.53000000000014,1.14242,0.0,5.0,3.7986028756795487
80,CHEMBL300679,C[C@@H]1C(=O)N(CC(O)COc2ccccc2)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,424.4970000000002,2.6843000000000012,1.0,5.0,3.3010299956639813
81,CHEMBL51210,C[C@@H]1C(=O)N(C(=O)C2C(C)(C)C2(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,398.5030000000001,3.4532000000000025,0.0,4.0,3.3010299956639813
82,CHEMBL417540,Cc1ccc(S(=O)(=O)N2CCCC2C(=O)N2CC[C@H]3C2[C@H](C)C(=O)N3C=O)cc1,inactive,419.5030000000001,0.7523200000000003,0.0,5.0,4.853871964321762
83,CHEMBL50970,C[C@H]1C(=O)N(C(=O)C2CC2)[C@@H]2CCN(C(=O)C3CCCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]21,inactive,552.6970000000002,2.833400000000001,0.0,6.0,4.886056647693163
84,CHEMBL50516,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)OCc3ccccc3)C12,intermediate,342.395,2.181,0.0,4.0,5.045757490560675
85,CHEMBL51470,CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)Cc1c(C)[nH]c2ccc(F)cc12,intermediate,371.41200000000003,2.15222,1.0,3.0,5.221848749616356
86,CHEMBL50738,COc1ccc(C(=O)N2C(=O)[C@@H](C)C3[C@@H]2CCN3C(=O)OCc2ccccc2)cc1,inactive,408.4540000000001,3.0934000000000017,0.0,5.0,3.3010299956639813
87,CHEMBL50745,CC(=O)OCC(=O)N1C(=O)C(C)C2C1CCN2C(=O)OCc1ccccc1,inactive,374.39300000000014,1.3340999999999998,0.0,6.0,4.886056647693163
88,CHEMBL298960,CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2CC(=O)Cc1ccccc1,inactive,314.38499999999993,1.2658999999999998,0.0,4.0,4.102372908709558
89,CHEMBL50778,CC(=O)N1C(=O)[C@H](C)[C@H]2[C@H]1CCN2C(=O)[C@@H]1CCCN1C(=O)c1ccccc1,inactive,383.4480000000001,1.2855,0.0,4.0,3.3010299956639813
90,CHEMBL50088,CC(=O)N1C(=O)[C@H](C)[C@H]2[C@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc([N+](=O)[O-])cc1,inactive,464.50000000000017,0.7422000000000006,0.0,7.0,4.958607314841775
91,CHEMBL51006,C[C@@H]1C(=O)N(C=O)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,302.33,1.4007999999999998,0.0,4.0,3.400116927926312
92,CHEMBL2115461,C[C@@H]1C(=O)N(C(=O)C2[C@@H](C)[C@@H]2C)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,370.44900000000007,2.673000000000001,0.0,4.0,4.0
